"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDSB","PBN","Both","LDZA",1139.15
"LDSP","PBN","Both","LDZA",7839.81
"LDZD","PBN","Both","LDZA",1050.8
"LDDU","Current","Both","LDZD",455.83
"LDPL","Current","Both","LDZD",733.23
"LDSB","Current","Both","LDZD",355.12
"LDZA","Current","Both","LDZD",1050.8
"LDDU","PBN","Both","LDZD",455.83
"LDPL","PBN","Both","LDZD",733.23
"LDSB","PBN","Both","LDZD",355.12
"LDZA","PBN","Both","LDZD",1050.8
"LDSB","Current","Both","LJLJ",2000.22
"LDSB","PBN","Both","LJLJ",2000.22
"LDSB","Current","Both","LOWG",1788.2
"LDZA","Current","Both","LOWG",58.03
"LDSB","PBN","Both","LOWG",1788.2
"LDZA","PBN","Both","LOWG",58.03
"LDZA","Current","Both","LQSA",1262.49
"LDZA","PBN","Both","LQSA",1262.49
"LDDU","Current","Both","LYPG",1234.87
"LDDU","PBN","Both","LYPG",1234.87
"LDDU","Current","Both","LYTV",219.25
"LDDU","PBN","Both","LYTV",219.25
"LDZA","Current","Both","MITNO",2025.45
"LDZA","PBN","Both","MITNO",2025.45
"LDDU","Current","Both","MOKUN",13343.65
"LDDU","PBN","Both","MOKUN",13343.65
"LDSP","Current","Both","NEMEK",1579.81
"LDSP","PBN","Both","NEMEK",1579.81
"LDDU","Current","Both","NIKOL",1221.1
"LDZD","Current","Both","NIKOL",506.2
"LDDU","PBN","Both","NIKOL",1221.1
"LDZD","PBN","Both","NIKOL",506.2
"LDZA","Current","Both","NILKU",890.75
"LDZA","PBN","Both","NILKU",890.75
